Api Nirate card sample
00 253 247 99
05 251 210 96 
10 250 160 96 
20 248 111 67
40 242 50 50
80 242 10 55
160 197 7 40

Api Phosphate card sample
0.00 248 242 158
0.25 200 200 120
0.50 190 220 145
1.00 190 230 172
2.00 150 200 163
5.00 050 155 160
10.0 020 080 130

Api PH High card sample 
7.4 247 218 78
7.8 189 124 92
8.0 116 43 75
8.2 120 60 85
8.4 170 70 130
8.8 120 55 145

Api Ammonia card sample
0.00 240 245 73 
0.25 192 231 30
0.50 200 252 80
1.00 150 215 95
2.00 023 130 62 
4.00 050 132 70
8.00 050 086 85
